element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
As,33,"=""""","=""1.0005266""","=""""","=""4.5381e+11""",AA,,
As,33,"=""""","=""1.0005415""","=""""","=""1.1008e+11""",AA,,
Fe,20,"=""1.0008""","=""1.0009""","=""""","=""""",,,
Fe,20,"=""1.0008""","=""1.0008""","=""""","=""""",,,
Ga,23,"=""1.0013""","=""1.0013*""","=""""","=""""",,,
Ga,23,"=""1.0017""","=""1.0005*""","=""bl""","=""""",,,
W,46,"=""1.0017""","=""1.0017""","=""15""","=""""",,,
Ti,22,"=""""","=""1.00232844""","=""""","=""4.8360e+12""",AA,,
Co,18,"=""1.0025""","=""1.002*""","=""""","=""""",,,
Ti,22,"=""""","=""1.00268935""","=""""","=""8.0194e+11""",AA,,
Na,11,"=""1.0027""","=""1.002317884""","=""bl*""","=""9.1633e+12""",AA,,
Na,11,"=""1.0027""","=""1.002858768""","=""bl*""","=""9.1839e+12""",AA,,
Fe,18,"=""1.003""","=""1.0030""","=""""","=""""",,,
Co,18,"=""1.0030""","=""1.003*""","=""""","=""2.7e+12""",D,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,25,"=""""","=""1.0037""","=""""","=""8.08e+12""",B,,
Ti,22,"=""""","=""1.00375090""","=""""","=""4.3016e+11""",AA,,
Ti,20,"=""1.0046""","=""1.0046*""","=""""","=""7.29e+11""",C+,,
V,22,"=""""","=""1.0046""","=""""","=""4.8e+12""",C,,
Co,24,"=""1.0053""","=""1.004*""","=""3""","=""""",,,
Co,24,"=""1.0053""","=""1.0053*""","=""3""","=""""",,,
Cu,21,"=""1.0057""","=""1.0057*""","=""""","=""""",,,
Fe,20,"=""1.0058""","=""1.0058""","=""""","=""""",,,
Co,18,"=""1.0066""","=""1.0066*""","=""""","=""""",,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""7.9e+12""",D,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""7.0e+12""",C,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""6.3e+12""",C,,
V,22,"=""""","=""1.0072""","=""""","=""6.1e+11""",C,,
Cu,21,"=""1.0074""","=""1.0074*""","=""""","=""""",,,
Ba,29,"=""1.0075""","=""1.0075""","=""11""","=""3.1e+12""",,,
Ga,23,"=""1.0083""","=""1.0083*""","=""""","=""""",,,
Kr,35,"=""""","=""1.00848""","=""""","=""""",,,
Co,24,"=""""","=""1.0085""","=""""","=""6.0e+12""",C,,
Ti,20,"=""1.0109""","=""1.0109*""","=""""","=""8.6e+11""",C+,,
Ti,20,"=""1.0109""","=""1.0109*""","=""""","=""1.4e+11""",D,,
Ga,23,"=""1.0109""","=""1.0109*""","=""""","=""""",,,
Ni,19,"=""1.0109""","=""1.0109""","=""""","=""9.4e+12""",D,,
Co,24,"=""1.0115""","=""1.0115*""","=""""","=""5.9e+12""",C,,
Co,24,"=""1.0115""","=""1.0120*""","=""""","=""1.8e+12""",E,,
Na,10,"=""1.01190""","=""1.00540""","=""D*""","=""""",,,
Na,10,"=""1.01190""","=""1.01193""","=""D*""","=""""",,,
Kr,35,"=""""","=""1.01191""","=""""","=""""",,,
Cu,21,"=""1.0121""","=""1.0121*""","=""""","=""""",,,
Fe,20,"=""1.0121""","=""1.0121""","=""""","=""""",,,
Fe,20,"=""1.0121""","=""1.0121""","=""""","=""""",,,
Fe,17,"=""1.0123""","=""1.0124""","=""2""","=""""",,,
Fe,17,"=""1.0123""","=""1.0124""","=""2""","=""""",,,
Ba,29,"=""1.0138""","=""1.0138""","=""12""","=""1.15e+13""",,,
Ni,19,"=""1.0155""","=""1.0155""","=""""","=""7.0e+10""",E,,
Co,24,"=""1.0156""","=""1.0156*""","=""""","=""3.4e+12""",E,,
Na,10,"=""1.01570""","=""1.01525""","=""*""","=""""",,,
Na,10,"=""1.01570""","=""1.01561""","=""*""","=""""",,,
Fe,20,"=""1.0159""","=""1.0160""","=""""","=""""",,,
Fe,20,"=""1.0159""","=""1.0160""","=""""","=""""",,,
Co,25,"=""""","=""1.0159""","=""""","=""2.19e+13""",C+,,
Mo,42,"=""""","=""1.01603""","=""""","=""""",,,
Na,10,"=""1.01700""","=""1.01647""","=""*""","=""""",,,
Na,10,"=""1.01700""","=""1.01671""","=""*""","=""""",,,
Kr,35,"=""""","=""1.01747""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0177""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0177""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0178""","=""""","=""""",,,
Kr,35,"=""""","=""1.01771""","=""""","=""""",,,
Ca,20,"=""""","=""1.01786692""","=""""","=""3.9716e+10""",AA,,
Co,24,"=""""","=""1.0179""","=""""","=""1.7e+11""",E,,
Ca,20,"=""""","=""1.01806440""","=""""","=""4.6168e+11""",AA,,
W,46,"=""1.0181""","=""1.0181""","=""20""","=""""",,,
Kr,35,"=""""","=""1.01807""","=""""","=""""",,,
Co,24,"=""1.0182""","=""1.018*""","=""""","=""2.1e+12""",D,,
Ba,28,"=""1.0182""","=""1.0182""","=""35""","=""""",,,
Kr,35,"=""""","=""1.01812""","=""""","=""""",,,
Co,18,"=""1.0184""","=""1.0184*""","=""""","=""""",,,
Na,10,"=""1.01930""","=""1.01912""","=""""","=""""",,,
Mo,32,"=""1.0197""","=""1.01970*""","=""2""","=""""",,,
Ga,23,"=""1.0198""","=""1.0198*""","=""""","=""""",,,
Cu,21,"=""1.0203""","=""1.0203*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0204""","=""""","=""""",,,
Co,19,"=""1.0206""","=""1.021*""","=""""","=""""",,,
Co,18,"=""1.0207""","=""1.0207*""","=""""","=""""",,,
Br,35,"=""""","=""1.021867""","=""""","=""4.3259e+12""",AA,,
Fe,17,"=""1.0221""","=""1.0221""","=""1""","=""""",,,
Fe,25,"=""""","=""1.0221""","=""""","=""""",,,
Fe,25,"=""""","=""1.0220""","=""""","=""7.75e+12""",B,,
Fe,20,"=""1.0222""","=""1.0222""","=""""","=""""",,,
Fe,25,"=""""","=""1.0222""","=""""","=""""",,,
Br,35,"=""""","=""1.022256""","=""""","=""2.4093e+12""",AA,,
Cu,21,"=""1.0234""","=""1.0234*""","=""""","=""""",,,
Ne,10,"=""""","=""1.023848727""","=""""","=""1.6726e+12""",AA,,
Ga,23,"=""1.0239""","=""1.0239*""","=""""","=""""",,,
Ne,10,"=""""","=""1.023962821""","=""""","=""1.6722e+12""",AA,,
Ca,20,"=""""","=""1.02405364""","=""""","=""8.2660e+10""",AA,,
Mo,32,"=""1.0241""","=""1.02410*""","=""3""","=""""",,,
Kr,35,"=""""","=""1.02493""","=""""","=""""",,,
Br,35,"=""""","=""1.025607""","=""""","=""4.6781e+11""",AA,,
Cu,21,"=""1.0260""","=""1.0260*""","=""""","=""""",,,
Br,35,"=""""","=""1.026093""","=""""","=""2.5426e+12""",AA,,
Co,24,"=""1.0265""","=""1.0265*""","=""""","=""7.6e+12""",C,,
Mo,32,"=""1.0272""","=""1.02720*""","=""3""","=""""",,,
Co,19,"=""1.0275""","=""1.0275*""","=""""","=""""",,,
Ti,20,"=""""","=""1.0278""","=""""","=""8.400e+11""",C+',,
Ti,20,"=""""","=""1.0282""","=""""","=""8.400e+11""",C+',,
Ni,19,"=""1.0281""","=""1.0281""","=""""","=""4.7e+11""",D,,
Tm,69,"=""""","=""1.028176""","=""""","=""3.1919e+12""",AA,,
Cu,21,"=""1.0282""","=""1.0283*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Cu,21,"=""1.0291""","=""1.0291*""","=""""","=""""",,,
Ga,23,"=""1.0298""","=""1.0298*""","=""""","=""""",,,
Co,25,"=""""","=""1.0303""","=""""","=""2.56e+13""",C+,,
Cu,21,"=""1.0306""","=""1.0306*""","=""""","=""""",,,
Cu,21,"=""1.0316""","=""1.0316*""","=""""","=""""",,,
Co,25,"=""""","=""1.0318""","=""""","=""4.3e+12""",C,,
Ga,23,"=""1.0319""","=""1.0320*""","=""""","=""""",,,
Fe,17,"=""1.0320""","=""1.0320""","=""2""","=""""",,,
Mo,32,"=""1.0323""","=""1.03230*""","=""2""","=""""",,,
Mn,25,"=""""","=""1.03240834""","=""""","=""2.1363e+13""",AA,,
Ba,28,"=""1.0327""","=""1.0327""","=""18""","=""""",,,
Mn,25,"=""""","=""1.0328230""","=""""","=""8.6911e+12""",AA,,
Fe,18,"=""1.033""","=""1.0331""","=""""","=""""",,,
Fe,18,"=""1.033""","=""1.0331""","=""""","=""""",,,
Ga,23,"=""1.0333""","=""1.0333*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0333""","=""""","=""""",,,
Kr,35,"=""""","=""1.03330""","=""""","=""""",,,
Kr,35,"=""""","=""1.03454""","=""""","=""""",,,
Ga,23,"=""1.0347""","=""1.0348*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0347""","=""""","=""""",,,
Cu,21,"=""1.0354""","=""1.0354*""","=""""","=""""",,,
Co,25,"=""""","=""1.0372""","=""""","=""1.1e+12""",D,,
Mn,25,"=""""","=""1.0369064""","=""""","=""8.4087e+11""",AA,,
Fe,25,"=""""","=""1.0369""","=""""","=""8.7e+11""",B,,
Ba,27,"=""1.0371""","=""1.0371""","=""15""","=""3.10e+14""",,,
Co,19,"=""1.0373""","=""1.037*""","=""""","=""""",,,
Mn,25,"=""""","=""1.0374611""","=""""","=""8.9678e+12""",AA,,
Fe,17,"=""1.0386""","=""1.0386""","=""1""","=""""",,,
Br,35,"=""""","=""1.03860155""","=""""","=""6.4528e+12""",AA,,
Br,35,"=""""","=""1.038633""","=""""","=""5.1119e+12""",AA,,
Ba,29,"=""1.0388""","=""1.0388""","=""15""","=""9.0e+12""",,,
Kr,35,"=""""","=""1.03877""","=""""","=""""",,,
Co,24,"=""""","=""1.0389""","=""""","=""2.7e+12""",D,,
Co,24,"=""""","=""1.0389""","=""""","=""4.3e+12""",C,,
Cu,21,"=""1.0392""","=""1.0392*""","=""""","=""""",,,
W,70,"=""1.0397""","=""1.0397""","=""4""","=""""",,,
Br,35,"=""""","=""1.0398739""","=""""","=""2.2800e+10""",AA,,
Br,35,"=""""","=""1.039915""","=""""","=""8.5310e+11""",AA,,
Co,19,"=""1.0406""","=""1.041*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.041*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.0406*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.0406*""","=""""","=""""",,,
Fe,18,"=""1.041""","=""1.0406""","=""""","=""""",,,
V,21,"=""""","=""1.0401""","=""""","=""2.0e+12""",C+',,
V,21,"=""""","=""1.0412""","=""""","=""2.0e+12""",C+',,
Kr,35,"=""""","=""1.04157""","=""""","=""""",,,
Co,24,"=""1.0428""","=""1.0415*""","=""""","=""1.5e+13""",C,,
Ni,19,"=""1.0431""","=""1.0431""","=""""","=""5.1e+11""",D,,
Cs,28,"=""""","=""1.0431""","=""""","=""2.74e+12""",,,
Br,35,"=""""","=""1.043789""","=""""","=""1.0441e+12""",AA,,
Br,35,"=""""","=""1.0438445""","=""""","=""2.7173e+11""",AA,,
Br,35,"=""""","=""1.04391184""","=""""","=""6.8243e+12""",AA,,
Fe,18,"=""1.044""","=""1.0441""","=""""","=""""",,,
Fe,18,"=""1.044""","=""1.0441""","=""""","=""""",,,
Sc,19,"=""1.0443""","=""1.0443""","=""g*""","=""2.530e+11""",C+',,
Sc,19,"=""1.0443""","=""1.0443""","=""g*""","=""2.530e+11""",C+',,
Co,24,"=""""","=""1.0443""","=""""","=""3.1e+10""",C,,
Co,24,"=""1.0445""","=""1.0447*""","=""""","=""2.01e+13""",C,,
Co,24,"=""1.0445""","=""1.0453*""","=""""","=""1.1e+13""",C,,
Br,35,"=""""","=""1.04455459""","=""""","=""4.5067e+11""",AA,,
Kr,35,"=""""","=""1.04501""","=""""","=""""",,,
Br,35,"=""""","=""1.0458416""","=""""","=""2.1632e+11""",AA,,
